Index,NGA,PolID,Time,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
Middle Yellow River Valley (-4100),Middle Yellow River Valley,CnYngsh,-4100,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Susiana (-4100),Susiana,IrSusa1,-4100,4.027735079,2.96983565,3.0500244339999996,1.969035122,0.245454545,0.32857142899999997,0.15,0.0,2.7
Upper Egypt (-4100),Upper Egypt,EgBadar,-4100,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Konya Plain (-4100),Konya Plain,TrClcLT,-4100,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4100),Kachi Plain,PkCeraN,-4100,2.965826554,1.803886088,2.6141794380000003,0.52314742,0.027272727000000004,0.26666666699999997,0.0,0.0,1.8
Susiana (-4000),Susiana,IrSusa1,-4000,4.027735079,2.96983565,3.0500244339999996,1.969035122,0.245454545,0.32857142899999997,0.15,0.0,2.7
Upper Egypt (-4000),Upper Egypt,EgBadar,-4000,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Konya Plain (-4000),Konya Plain,TrClcLT,-4000,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-4000),Kachi Plain,PkChalc,-4000,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Middle Yellow River Valley (-4000),Middle Yellow River Valley,CnYngsh,-4000,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Susiana (-3900),Susiana,IrSusa1,-3900,2.9976607580000003,1.720774275,3.0500244339999996,1.969035122,0.245454545,0.32857142899999997,0.15,0.0,2.7
Upper Egypt (-3900),Upper Egypt,EgBadar,-3900,2.155354857,3.469650438,1.8253878780000001,1.069412609,0.1,0.245454545,0.228571429,0.1,0.9
Konya Plain (-3900),Konya Plain,TrClcLT,-3900,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-3900),Kachi Plain,PkChalc,-3900,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Middle Yellow River Valley (-3900),Middle Yellow River Valley,CnYngsh,-3900,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Middle Yellow River Valley (-3800),Middle Yellow River Valley,CnYngsh,-3800,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Konya Plain (-3800),Konya Plain,TrClcLT,-3800,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Susiana (-3800),Susiana,IrSusa2,-3800,2.9976607580000003,1.4308685680000002,2.8152576519999997,2.750748805,0.571428571,0.68,0.98,0.95,2.7
Upper Egypt (-3800),Upper Egypt,EgNaqa1,-3800,2.0640873180000003,1.215576585,1.8888139590000002,2.061205281,0.1,0.318181818,0.25,0.1,3.0
Kachi Plain (-3800),Kachi Plain,PkChalc,-3800,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Susiana (-3700),Susiana,IrSusa2,-3700,4.008131588,3.510898514,2.8152576519999997,2.916916268,0.571428571,0.68,0.98,0.95,2.7
Konya Plain (-3700),Konya Plain,TrClcLT,-3700,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Kachi Plain (-3700),Kachi Plain,PkChalc,-3700,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Middle Yellow River Valley (-3700),Middle Yellow River Valley,CnYngsh,-3700,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Upper Egypt (-3700),Upper Egypt,EgNaqa1,-3700,3.9870221619999997,3.77114498,3.04059473,2.247513193,0.1,0.318181818,0.25,0.1,3.0
Kachi Plain (-3600),Kachi Plain,PkChalc,-3600,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Susiana (-3600),Susiana,IrSusa2,-3600,3.990294092,4.320087073,3.542955833,2.916916268,0.571428571,0.68,0.98,0.95,2.7
Latium (-3600),Latium,ItLatCA,-3600,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727000000004,0.21666666699999998,0.0875,0.9
Middle Yellow River Valley (-3600),Middle Yellow River Valley,CnYngsh,-3600,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Konya Plain (-3600),Konya Plain,TrClcLT,-3600,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Upper Egypt (-3600),Upper Egypt,EgNaqa1,-3600,4.548768068,3.77114498,4.113943352,2.394538614,0.1,0.318181818,0.25,0.1,3.0
Kachi Plain (-3500),Kachi Plain,PkChalc,-3500,4.521119108,2.809741812,3.4217101810000004,1.701790573,0.1,0.34166666700000003,0.0,0.0,1.8
Upper Egypt (-3500),Upper Egypt,EgNaqa2,-3500,4.113943352,4.2693276760000005,3.69526637,2.326862452,0.163636364,0.36666666700000006,0.483333333,0.1,3.0
Susiana (-3500),Susiana,IrSusa2,-3500,4.238199531,3.72708224,3.698970004,3.2476896610000003,0.571428571,0.68,0.98,0.95,2.7
Sogdiana (-3500),Sogdiana,TjSaraz,-3500,4.032443453,3.212599823,3.808243465,2.477247729,0.1,0.39090909100000004,0.0,0.0,0.9
Konya Plain (-3500),Konya Plain,TrClcLT,-3500,3.2545718339999996,1.954242509,3.526991862,2.2392063859999998,0.28,0.327272727,0.25,0.1,1.0
Middle Yellow River Valley (-3500),Middle Yellow River Valley,CnYngsh,-3500,4.09560288,2.761695291,2.511716905,1.8416941740000001,0.1,0.18,0.18,0.0,0.5
Latium (-3500),Latium,ItLatCA,-3500,3.674633937,2.928588145,2.472720123,1.0,0.009090909,0.027272727000000004,0.21666666699999998,0.0875,0.9
Susiana (-3400),Susiana,IrSusa2,-3400,4.329926391,4.112798296,3.698970004,3.583582935,0.571428571,0.68,0.98,0.95,2.7
